OBI ID	RDFS Label	Textual Definition	Example	Editor	Editor Note	Alternative Term	Logical Definition Type	Logical Note	Parent	Target Process	Material Preparation Technique	Detection Technique	Evaluant	Analyte	Device	Input	Reagent	Molecular Label	Output
ID	A rdfs:label	A definition	A example of usage	A term editor	A editor note	A alternative term	CLASS_TYPE		C %	C has_specified_output some ('is about' some %)	C 'has part' some %	C 'has part' some %	C (has_specified_input some %) and (realizes some ('evaluant role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some ('analyte role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some (function and ('inheres in' some %)))	C has_specified_input some %	C (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	C (has_specified_input some %) and (realizes some ('molecular label role' and ('inheres in' some %)))	C has_specified_output some %
									assay	biological process	material processing	assay	material entity	material entity	device	material entity	reagent	molecular entity or molecular label 	data item
OBI:0000182	nuclear magnetic resonance assay	A 3D structure determination assay that uses magnetic properties of atomic nuclei to determine the structure and dynamics of molecules in the input sample.	Determining the binding of epitope-specific nanobody cAb-HuL5 to wild type human lysozyme by chemical shift perturbations in NMR spectra (Erwin De Genst, J Phys Chem B 2013).	PlanAndPlannedProcess Branch, IEDB			equivalent		3D structure determination assay						NMR instrument				3D structural organization datum
OBI:0000201	radioactivity detection	An assay that measures the amount of radiation in the radioactive spectrum (alpha, beta or gamma rays) emitted from an input material.	Placing the evaluant input material close to a scintillation counter which emits light upon being hit with alpha/beta/gamma radiation and counting the frequency of light blasts to determine the radioactivity of the input material.	PlanAndPlannedProcess Branch, IEDB			equivalent		assay	(realizes some radioactive)						('material entity' and ('bearer of' some radioactive))			
OBI:0000470	mass spectrometry assay	An assay that identifies the amount and type of material entities present in a sample by fragmenting it and measuring the mass-to-charge ratio of the resulting particles.	Identification of a proteins cut out from a 2D gel by cleaving it into peptides using trypsin digestion using electrospray ionizatino to ensure the peptides are charged, and accelerating them with an electro magnetic field in which the flight path is determined by the mass / charge ratio of the peptides.  Comparing the mass/charge ratio of peptides in the proteins with databases of protein sequences allows to identify which protein gave rise to the peptides.	Philippe Rocca-Serra			equivalent		assay						mass spectrometer				
OBI:0000661	enzyme-linked immunosorbent assay	An analyte assay where binding of an enzyme linked antibody to a material entity that is immobilized on solid support is detected utilizing a chemiluminescent reaction. Depending on the setup, the enzyme-linked antibody could be binding directly to the analyte, or it serves as a secondary antibody detecting binding of the primary antibody to the analyte.	1) Detection of IL-2 (analyte) in a cell supernatant (evaluant), using plate bound anti IL-2 antibodies, and a reporter enzyme-linked reporter antibody. 2) Measurement of IgG antibody (analyte) titer in a serum sample (evaluant) using plate bound antigen and a reporter anti-IgG antibody.	IEDB		ELISA	equivalent		analyte assay								immunoglobulin complex, circulating		
OBI:0000664	BrdU incorporation assay	A cell proliferation assay in which cells are cultured  in the presence of BrdU which is incorporated into newly synthesized DNA of replicating cells (during the S phase of the cell cycle), substituting for thymidine during DNA replication, which can be quantified by BrdU specific antibodies.	The measurement of T cell proliferation as a response to a viral peptide by culturing T cells stimulated with APCs and peptide in the presence of BrdU.	IEDB			subclass	can't capture how exactly BRDU is utilized	cell proliferation assay									"""5-bromo-2'-deoxyuridine"""	
OBI:0000669	tritiated thymidine incorporation assay	A cell proliferation assay in which cells are cultured in the presence of tritiated thymidine which is incorporated into  newly synthesized DNA of replicating cells (during the S phase of the cell cycle). The radioactivity of tritiated thymidine in a cell is a proxy for cells that were actively replicating.	The measurement of T cell proliferation as a response to a viral peptide by culturing T cells stimulated with APCs and peptide in the presence of tritiated thymidine, and using a scintillation counter to detect the radioactivity.	IEDB			subclass	can't capture how exactly thymidine is utilized	cell proliferation assay			radioactivity detection						tritiated thymidine	
OBI:0000705	Edman degradation	A sequencing assay in which the amino acid sequence of input peptides or proteins is determined by iteratively cleaving of the amino-terminal (N-terminal) residue without disrupting the peptide bonds and identifying it by e.g. chromatography or electropheresis.	Determination of the amino acid sequence of a peptide eluted from HLA-DRB1*04:01 to be VYPEVTVYPAKT.	IEDB			subclass	does not capture iterative cleaving	sequencing assay									material entity	('information content entity' and ('is about' some 'polypeptide'))
OBI:0000854	western blot analysis	An analyte assay that detects specific molecules in an input material by separating it using gel electrophoresis, transfering the separated molecules to a membrane, and staining them with  antibodies specific to the analyte molecules.	Running a cell lysate on an acrylamide gel in a western blot aparatus to separate the constituent proteins, followed by transfer of the proteins from the gel to a nitrocellulose membrane. Staining this membrane with specific antibodies to detect the presence of specific proteins of interest.	Philippe Rocca-Serra, IEDB			equivalent		analyte assay		electrophoresis			molecular entity	gel electrophoresis system				
